ip,dist,delays
172.24.52.71,120.133.78.52,"[['192.168.13.1', ['6', '4', '4']], ['10.1.1.1', ['1', '1', '1']], ['61.148.29.225', ['2', '2', '2']], ['61.148.153.157', ['3', '3', '7']], ['61.148.157.229', ['3', '3', '3']], ['219.158.3.150', ['9', '7', '7']], ['220.192.74.90', ['*', '9', '13']], ['120.52.10.42', ['*', '*', '13']], ['124.251.255.38', ['4', '5', '8']], ['124.251.255.106', ['4', '12', '34']], ['120.133.78.4', ['36', '8', '32']], ['120.133.78.52', ['8', '6', '7']]]"
172.24.52.71,202.119.242.14,"[['192.168.13.1', ['9', '9', '9']], ['10.1.1.1', ['3', '2', '6']], ['202.112.5.229', ['2', '2', '1']], ['101.4.113.233', ['5', '4', '3']], ['101.4.112.2', ['37', '13', '13']], ['101.4.117.37', ['32', '23', '23']], ['101.4.112.62', ['31', '30', '30']], ['101.4.117.26', ['33', '36', '33']], ['101.4.116.97', ['39', '33', '45']], ['211.65.206.94', ['34', '32', '32']], ['211.65.207.130', ['32', '154', '31']], ['202.119.242.14', ['36', '40', '35']]]"
172.24.52.71,180.96.16.233,"[['192.168.13.1', ['34', '9', '42']], ['10.1.1.1', ['1', '1', '1']], ['61.148.29.225', ['9', '6', '2']], ['61.148.153.157', ['23', '3', '7']], ['61.148.157.229', ['20', '3', '*']], ['125.33.186.93', ['*', '*', '10']], ['219.158.100.58', ['24', '22', '22']], ['219.158.99.26', ['28', '24', '23']], ['202.102.73.198', ['27', '31', '27']], ['180.96.48.2', ['*', '25', '*']], ['180.96.15.182', ['*', '*', '51']]]"
172.24.52.71,58.205.213.52,"[['192.168.13.1', ['40', '14', '28']], ['10.1.1.1', ['2', '2', '2']], ['202.112.5.229', ['3', '3', '3']], ['101.4.113.233', ['4', '2', '2']], ['101.4.115.202', ['29', '25', '26']], ['101.4.116.225', ['40', '39', '39']], ['101.4.114.61', ['43', '46', '42']], ['58.205.213.52', ['40', '38', '38']]]"
172.24.52.71,42.81.219.24,"[['192.168.13.1', ['5', '4', '4']], ['10.1.1.1', ['1', '2', '1']], ['61.148.29.225', ['5', '2', '2']], ['61.148.153.157', ['3', '3', '3']], ['61.148.4.237', ['5', '3', '3']], ['219.158.110.58', ['11', '7', '7']], ['219.158.44.130', ['*', '4', '*']], ['42.81.32.222', ['8', '157', '12']], ['42.81.219.24', ['16', '8', '7']]]"
172.24.52.71,211.66.186.86,"[['192.168.13.1', ['6', '158', '182']], ['10.1.1.1', ['2', '1', '2']], ['202.112.5.229', ['59', '2', '3']], ['101.4.113.233', ['7', '11', '3']], ['101.4.115.202', ['27', '25', '27']], ['101.4.116.225', ['66', '43', '40']], ['101.4.114.61', ['52', '42', '41']], ['210.38.1.114', ['42', '46', '44']], ['211.66.186.86', ['84', '39', '40']]]"
172.24.52.71,210.38.120.215,"[['192.168.13.1', ['27', '4', '4']], ['10.1.1.1', ['4', '1', '5']], ['202.112.5.229', ['2', '7', '4']], ['101.4.113.233', ['2', '2', '2']], ['101.4.112.2', ['18', '12', '12']], ['101.4.117.37', ['38', '25', '24']], ['101.4.112.37', ['32', '42', '29']], ['101.4.117.34', ['38', '37', '37']], ['101.4.114.61', ['44', '39', '40']], ['210.38.120.215', ['41', '39', '38']]]"
172.24.52.71,61.50.139.22,"[['192.168.13.1', ['8', '8', '7']], ['10.1.1.1', ['2', '32', '4']], ['61.148.29.225', ['40', '5', '9']], ['61.148.153.157', ['8', '10', '4']], ['61.148.158.69', ['*', '*', '12']], ['61.149.202.114', ['5', '4', '6']], ['123.126.7.234', ['5', '6', '10']], ['61.50.143.146', ['5', '5', '6']], ['61.50.139.22', ['6', '5', '4']]]"
172.24.52.71,42.247.48.199,"[['192.168.13.1', ['12', '9', '6']], ['10.1.1.1', ['15', '4', '13']], ['202.112.5.229', ['2', '2', '2']], ['101.4.113.233', ['2', '2', '2']], ['101.4.115.202', ['25', '29', '27']], ['101.4.112.37', ['32', '30', '31']], ['101.4.117.34', ['47', '45', '43']], ['101.4.114.61', ['42', '44', '41']], ['222.200.253.5', ['43', '39', '55']], ['222.200.253.2', ['56', '42', '43']], ['202.116.225.254', ['110', '43', '43']], ['42.247.48.199', ['58', '59', '58']], ['42.247.48.199', ['58', '57', '57']]]"
172.24.52.71,219.230.178.20,"[['192.168.13.1', ['33', '21', '13']], ['10.1.1.1', ['2', '1', '1']], ['202.112.5.229', ['14', '6', '8']], ['101.4.113.233', ['4', '18', '2']], ['101.4.112.2', ['17', '35', '15']], ['101.4.117.37', ['102', '29', '26']], ['101.4.112.62', ['37', '30', '30']], ['101.4.117.26', ['34', '41', '34']], ['101.4.116.97', ['37', '32', '37']], ['219.219.146.2', ['*', '34', '35']], ['219.219.148.70', ['33', '35', '34']], ['219.219.148.186', ['36', '38', '35']], ['219.230.179.253', ['38', '35', '37']]]"
172.24.52.71,218.2.208.200,"[['192.168.13.1', ['7', '7', '9']], ['10.1.1.1', ['4', '5', '1']], ['61.148.29.225', ['57', '2', '7']], ['61.148.153.157', ['5', '5', '6']], ['61.148.4.237', ['7', '7', '3']], ['219.158.111.82', ['20', '23', '145']], ['219.158.17.90', ['23', '29', '23']], ['61.155.228.170', ['28', '28', '26']], ['222.190.3.26', ['33', '25', '24']], ['218.2.208.200', ['23', '23', '24']]]"
172.24.52.71,121.33.231.243,"[['192.168.13.1', ['314', '60', '20']], ['10.1.1.1', ['3', '2', '2']], ['61.148.29.225', ['7', '2', '2']], ['61.148.153.149', ['3', '3', '2']], ['61.148.4.213', ['9', '6', '3']], ['124.65.194.165', ['7', '6', '3']], ['219.158.24.6', ['49', '34', '39']], ['202.97.17.149', ['44', '46', '47']], ['14.147.4.122', ['41', '42', '38']], ['121.8.132.166', ['34', '38', '35']], ['121.33.231.243', ['63', '38', '43']]]"
172.24.52.71,219.129.166.3,"[['192.168.13.1', ['6', '7', '42']], ['10.1.1.1', ['5', '3', '1']], ['61.148.29.225', ['20', '10', '3']], ['61.148.153.149', ['15', '3', '7']], ['202.106.36.145', ['*', '*', '5']], ['124.65.194.17', ['8', '5', '4']], ['219.158.23.246', ['49', '38', '38']], ['202.97.81.41', ['38', '38', '39']], ['202.97.95.133', ['*', '38', '*']], ['219.128.96.122', ['39', '38', '39']], ['59.37.176.161', ['35', '35', '34']], ['119.146.126.166', ['43', '49', '41']], ['119.146.28.70', ['42', '40', '40']], ['219.129.166.2', ['44', '43', '43']]]"
172.24.52.71,202.116.7.242,"[['192.168.13.1', ['5', '4', '4']], ['10.1.1.1', ['2', '1', '1']], ['202.112.5.229', ['5', '2', '3']], ['101.4.113.233', ['2', '3', '2']], ['101.4.115.202', ['31', '25', '25']], ['101.4.112.37', ['31', '33', '34']], ['101.4.117.34', ['39', '40', '42']], ['101.4.114.61', ['*', '42', '41']], ['202.112.19.9', ['39', '39', '38']]]"
172.24.52.71,106.120.199.170,"[['192.168.13.1', ['25', '19', '5']], ['10.1.1.1', ['5', '1', '6']], ['61.148.29.225', ['6', '3', '3']], ['61.148.153.149', ['3', '4', '4']], ['202.106.230.81', ['4', '*', '2']], ['61.49.214.5', ['6', '6', '4']], ['219.158.13.90', ['16', '5', '6']], ['219.158.44.134', ['5', '4', '*']], ['202.97.17.125', ['5', '*', '6']], ['219.141.162.218', ['8', '7', '6']]]"
