ip,addr,name,mail,longitude,latitude
218.6.132.2,['四川省攀枝花市东区三线大道北段10号'],攀枝花学院官网,[],101.726889,26.566626
202.115.80.140,[' 成都市成洛大道2025号'], 成都大学,['610106'],104.191524,30.651619
211.83.88.243,['成都市犀浦泰山南街186号'],成都纺织高等专科学校 Chengdu Textile College,['611731'],103.883398,30.807078
101.206.70.252,['广安市广安区滨江东路98号'],广安职业技术学院主站,['638000'],106.665791,30.461996
61.139.70.10,['四川省成都市锦江区静康路536号'],四川邮电职业技术学院,['610067'],104.124057,30.619821
182.151.213.11,['四川省都江堰市天府大道聚源段8号（正大门）'],四川工商职业技术学院,['611830'],103.694928,30.912876
221.236.78.41,['攀枝花市东区马家田路65号'],四川机电职业技术学院,[],101.759927,26.568275
183.220.168.236,['天府新区视高经济开发区花海大道大学路1号（导航地址）'],四川科技职业学院,[],104.062322,30.234557
61.157.243.88,['四川省广元市利州区学府路265号'],四川信息职业技术学院,[],105.891201,32.419323
112.19.25.1,['南充市高坪区小龙宏发路'],南充职业技术学院,['637131'],106.158502,30.845774
183.223.236.6,['眉山市眉州大道岷东段5号'],眉山职业技术学院-网站首页,['620010'],103.898956,30.064184
218.6.145.17,['四川省德阳市凯江路二段32号'],四川司法警官职业学院,['618000'],104.412403,31.130354
125.64.42.59,['四川省成都市高新区西区大道2000号'],四川托普信息技术职业学院,[],103.923680,30.781655
61.188.99.45,['内江市东兴区汉安大道东四段199号'],内江职业技术学院,[],105.072507,29.604119
182.151.204.49,['四川省成都市温江区和盛镇星艺大道366号'],四川艺术职业学院,[],103.790696,30.751110
59.36.229.38,['成都市龙泉驿区驿都西路4111号'],四川财经职业学院,['610101'],104.211393,30.579344
125.65.115.212,['四川省江油市东山路北段100号'],四川幼儿师范高等专科学校,[],104.789265,31.787026
110.189.108.9,['四川省乐山市市中区肖坝路222号'],成都理工大学工程技术学院,['614000'],103.740213,29.555941
118.114.52.94,['四川省成都市郫都区团结街道学院街67号(郫都校区东区)'],四川传媒学院,[],103.982590,30.824241
101.207.126.2,['成都市金堂县学府大道278号'],成都文理学院（原四川师范大学文理学院）,['610401'],104.463236,30.846490
218.247.65.80,['苏州市吴中区万禄山路388号'],苏州厨具回收公司,[],120.542025,31.238821
110.188.129.191,['四川·彭山·锦江大道一号'],四川大学锦江学院,['620860'],103.873405,30.215040
220.166.50.59,['四川省绵阳市科创园区园兴西街2号'],西南财经大学天府学院,[],104.686551,31.491560
125.64.42.58,['四川省成都市金堂县大学城'],西南交通大学希望学院,['610400'],104.461163,30.846834
202.201.13.121,['兰州市天水南路222号'],兰州大学 ,[],103.859546,36.046674
180.96.16.233,['甘肃省兰州市西北新村1号'],西北民族大学,['730030'],103.819211,36.044291
202.201.64.162,['兰州市安宁区营门村1号'],甘肃农业大学,['730070'],103.699995,36.091570
210.26.98.214,['兰州市安宁东路967号'],西北师范大学,['730070'],103.736922,36.097490
210.26.80.162,['甘肃省兰州市城关区定西东路35号'],甘肃中医药大学,[],103.868682,36.043312
59.76.48.250,['甘肃省庆阳市西峰区兰州路45号'],陇东学院,['745000'],107.684395,35.729737
58.205.213.52,['甘肃省兰州市安宁区街坊路11号'],兰州城市学院,[],103.695822,36.094663
210.26.72.8,['甘肃省合作市知合玛路233号'],甘肃民族师范学院,['747000'],102.893545,34.957965
222.23.16.7,['甘肃省陇南市成县陇南路34号'],陇南师范高等专科学校欢迎您！,['742500'],105.743014,33.753905
59.76.156.101,['甘肃省兰州市西固区山丹街1号'],兰州石化职业技术大学,['730060'],103.634921,36.086412
124.152.32.111,['甘肃省武威市西关街皇台路102号'],武威职业学院,['733000'],102.604201,37.932280
61.178.200.12,['酒泉市肃州区解放路66号'],酒泉职业技术学院,[],98.481258,39.680876
59.76.127.51,['甘肃省天水市麦积区麦积大道200号'],甘肃林业职业技术学院,['741020'],105.996338,34.368929
59.76.142.100,['甘肃省兰州市城关区窦家山36号（校本部）'],兰州资源环境职业技术大学,[],103.945024,36.023931
210.26.98.214,['兰州市安宁区长新路20号'],西北师范大学知行学院,['730070'],103.732872,36.107029
61.178.64.29,['兰州市和平开发区'],兰州博文科技学院,[],103.986085,35.996604
111.206.208.228,['甘肃省兰州市城关区和政西街64号（铁路局后面）],兰州铁路工程职工大学,['730000'],103.840049,36.042961
202.202.2.6,['重庆市沙坪坝区沙正街174号'],重庆大学,[],106.465385,29.565275
202.202.96.35,['重庆市北碚区天生路2号'],西南大学,['400715'],106.424700,29.820475
202.202.136.90,['重庆市渝中区医学院路1号'],重庆医科大学,['400016'],106.508533,29.534620
202.202.208.198,['重庆市沙坪坝区大学城中路37号'],重庆师范大学,[],106.299928,29.611141
183.64.61.231,['重庆市南岸区学府大道19号'],重庆工商大学,['400067'],106.578024,29.506047
202.202.82.202,['重庆市渝北区宝圣大道301号'],西南政法大学,[],106.591827,29.662773
202.202.157.110,['重庆市巴南区红光大道69号'],重庆理工大学,['401135'],106.528349,29.454909
202.202.198.62,['重庆市沙坪坝区壮志路33号四川外国语大学'],四川外国语大学,['400031'],106.436585,29.569728
210.41.56.3,['重庆市沙坪坝区大学城四川美术学院'],四川美术学院,['401331'],106.297419,29.602771
124.162.57.243,['重庆市九龙坡区五龙庙电力四村9号'],重庆电力高等专科学校官方网站,['400053'],106.533452,29.486398
222.180.23.211,['重庆市万州区百安坝天星路366号'],重庆三峡医药高等专科学校,['404120'],108.442700,30.754009
113.204.166.30,['重庆高新区虎溪大学城南二路151号'],重庆城市管理职业学院,['401331'],106.303479,29.577174
203.107.45.167,['重庆市北碚区盐井坝1号'],重庆青年职业技术学院,['400712'],106.377608,29.778017
123.147.194.210,['重庆市江北区红石路255号'],重庆航天职业技术学院,[],106.505560,29.576817
219.221.50.168,['重庆市蒿枝坝都市工业园（涪陵区涪南路108号）'],重庆工贸职业技术学院,['408000'],107.362510,29.650173
116.211.138.205,['重庆市永川区昌州大道中段88号'],重庆财经职业学院,[],105.609347,29.403879
47.108.129.243,['重庆市永川区昌州大道西段28号'],重庆科创职业学院,['402160'],105.877758,29.373614
183.65.42.131,['重庆市江津区双福新区福星大道2号'],重庆能源职业学院,['402260'],106.305679,29.426137
58.64.190.91,['重庆市黔江区舟白街道学府一路一号（中国黔江城市大峡谷景区旁）'],重庆旅游职业学院,[],108.817993,29.505514
222.179.134.199,['重庆市合川大学城假日大道1号'],重庆移通学院,['401520'],106.240874,29.999880
202.196.64.35,['郑州市科学大道100号'],郑州大学,['450001'],113.538670,34.815952
203.34.106.200,['河南省郑州市郑东新区明理路北段379号'],河南大学,['450046'],113.819123,34.820703
218.196.240.2,['河南省焦作市世纪路2001号'],河南理工大学,[],113.260921,35.185555
202.196.16.31,['郑州市高新区莲花街100号'],河南工业大学,['450001'],113.550724,34.829500
